2026-01-06 13:18:27.150 +00:00 [WRN] Failed to determine the https port for redirect.
2026-01-06 13:27:48.862 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.2038 ms
2026-01-06 13:27:48.858 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.1267 ms
2026-01-06 13:27:48.863 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0902 ms
2026-01-06 13:27:48.866 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.8101 ms
2026-01-06 13:27:48.873 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 4.8067 ms
2026-01-06 13:27:48.878 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.9968 ms
2026-01-06 13:27:48.884 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.8992 ms
2026-01-06 13:33:24.617 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.1267 ms
2026-01-06 13:33:24.625 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 2.0085 ms
2026-01-06 13:33:24.641 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.3405 ms
2026-01-06 13:33:24.657 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 2.4393 ms
2026-01-06 13:33:24.676 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.9072 ms
2026-01-06 13:33:24.715 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21816 responded 204 in 0.0837 ms
2026-01-06 13:33:24.783 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 63.8626 ms
2026-01-06 13:33:36.984 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0920 ms
2026-01-06 13:33:36.989 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.5475 ms
2026-01-06 13:33:37.001 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 2.3163 ms
2026-01-06 13:33:37.008 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.3675 ms
2026-01-06 13:33:37.012 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.3341 ms
2026-01-06 13:33:37.032 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21816 responded 204 in 0.0754 ms
2026-01-06 13:33:37.045 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 8.7146 ms
2026-01-06 13:34:41.090 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0644 ms
2026-01-06 13:34:41.093 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.7915 ms
2026-01-06 13:34:41.099 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.7819 ms
2026-01-06 13:34:41.101 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.9500 ms
2026-01-06 13:34:41.105 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.3825 ms
2026-01-06 13:34:41.116 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21816 responded 204 in 0.1871 ms
2026-01-06 13:34:41.154 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 30.0030 ms
2026-01-06 13:35:22.904 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0427 ms
2026-01-06 13:35:22.907 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.8474 ms
2026-01-06 13:35:22.911 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.5695 ms
2026-01-06 13:35:22.914 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.7215 ms
2026-01-06 13:35:22.916 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.5687 ms
2026-01-06 13:35:22.944 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21816 responded 204 in 0.0521 ms
2026-01-06 13:35:22.965 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 17.4809 ms
2026-01-06 13:35:52.323 +00:00 [INF] HTTP OPTIONS /api/v1/Opening responded 204 in 0.0432 ms
2026-01-06 13:35:52.324 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0395 ms
2026-01-06 13:35:52.326 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0635 ms
2026-01-06 13:35:52.327 +00:00 [INF] HTTP OPTIONS /api/v1/Opening responded 204 in 0.0346 ms
2026-01-06 13:35:52.327 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0368 ms
2026-01-06 13:35:52.329 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0334 ms
2026-01-06 13:35:52.332 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.8377 ms
2026-01-06 13:35:52.338 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 2.1511 ms
2026-01-06 13:35:52.341 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.7611 ms
2026-01-06 13:35:52.343 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.8942 ms
2026-01-06 13:35:52.348 +00:00 [INF] HTTP GET /api/v1/Opening responded 200 in 16.3446 ms
2026-01-06 13:35:52.352 +00:00 [INF] HTTP GET /api/v1/Opening responded 200 in 2.5449 ms
2026-01-06 13:36:13.348 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0863 ms
2026-01-06 13:36:13.357 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 4.3023 ms
2026-01-06 13:36:13.363 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.3457 ms
2026-01-06 13:36:13.367 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.8853 ms
2026-01-06 13:36:13.377 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 5.0807 ms
2026-01-06 13:36:13.384 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21816 responded 204 in 0.0746 ms
2026-01-06 13:36:13.433 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 43.6799 ms
2026-01-06 13:36:52.028 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0736 ms
2026-01-06 13:36:52.029 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0401 ms
2026-01-06 13:36:52.029 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0260 ms
2026-01-06 13:36:52.030 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0171 ms
2026-01-06 13:36:52.033 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.4860 ms
2026-01-06 13:36:52.042 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 5.7292 ms
2026-01-06 13:36:52.053 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 5.3342 ms
2026-01-06 13:36:52.058 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21816 responded 204 in 0.0801 ms
2026-01-06 13:36:52.061 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.7083 ms
2026-01-06 13:36:52.091 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 30.1995 ms
2026-01-06 13:37:06.475 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/logout responded 204 in 0.1588 ms
2026-01-06 13:37:06.501 +00:00 [INF] HTTP POST /api/v1/Auth/logout responded 200 in 22.1909 ms
2026-01-06 13:37:14.058 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/login responded 204 in 0.1281 ms
2026-01-06 13:37:14.170 +00:00 [INF] HTTP POST /api/v1/Auth/login responded 200 in 109.5379 ms
2026-01-06 13:37:14.190 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.1063 ms
2026-01-06 13:37:14.195 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 0.8803 ms
2026-01-06 13:37:14.223 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21815 responded 204 in 0.0980 ms
2026-01-06 13:37:14.233 +00:00 [INF] HTTP GET /api/v1/Employee/21815 responded 200 in 6.2303 ms
2026-01-06 13:37:23.121 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0788 ms
2026-01-06 13:37:23.127 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.1095 ms
2026-01-06 13:37:23.127 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0249 ms
2026-01-06 13:37:23.127 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.0178 ms
2026-01-06 13:37:23.135 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 4.2438 ms
2026-01-06 13:37:23.139 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.2978 ms
2026-01-06 13:37:23.144 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.4667 ms
2026-01-06 13:37:23.148 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.6347 ms
2026-01-06 13:37:23.157 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/1 responded 204 in 0.0888 ms
